Sygnatura czasowa	"1.	Podaj swoj¹ p³eæ. Zaznacz odpowiedŸ. "	"2.	Podaj swój wiek (w latach):"	"3.	Do jakiej kategorii (I) nale¿¹ uprawiane przez Ciebie sporty?"	"4.	Do jakiej kategorii (II) nale¿¹ uprawiane przez Ciebie sporty?"	"5.	Do jakiej kategorii (III) nale¿¹ uprawiane przez Ciebie sporty? "	"6.	Jaki procent miesiêcznych wydatków przeznaczasz na sport?   "	"7.	Scharakteryzuj najczêœciej u¿ywany przez Ciebie sprzêt sportowy. "	"8.	Scharakteryzuj najczêœciej u¿ywan¹ przez Ciebie odzie¿ sportow¹. "	"9.	Na co przeznaczasz zasadnicz¹ czêœæ swoich wakacji (urlopu)? "	"10.	Podaj g³ówne czynniki mobilizuj¹ce Ciê do podejmowania wysi³ku fizycznego. "	"11.	Czy palisz papierosy? Zaznacz odpowiedŸ. "	"12.	Okreœl przeciêtn¹ d³ugoœæ Twego snu nocnego?  "	"13.	Oceñ swoje dotychczasowe postêpy w nauce i pracy. "	"14.	Okreœl poziom swojej sprawnoœci fizycznej. "	"15.	Okreœl poziom zadowolenia ze swojego ¿ycia. "	"16.	Scharakteryzuj stan swojego zdrowia. "
11-26-2014 11:59:50	mê¿czyzna	23	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	powy¿ej 20 %	markowy, wysokiej klasy, markowy, œredniej klasy	markowa, wysokiej klasy, markowa, œredniej klasy	turystyka piesza, uprawianie sportu, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
11-26-2014 12:01:01	kobieta	22	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	powy¿ej 8 h	bardzo dobre	œrednia	wysoki	dobry
11-26-2014 12:06:13	mê¿czyzna	20	sporty ca³oroczne	sporty halowe	sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	poni¿ej 5%	niemarkowy	niemarkowa	sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	5-6 h	dobre	œrednia	przeciêtny	dobry
11-26-2014 12:10:46	mê¿czyzna	24	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	5-6 h	dobre	œrednia	przeciêtny	przeciêtny
11-26-2014 12:11:51	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	dobre	niska	wysoki	dobry
11-26-2014 12:13:01	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa	troska o wygl¹d	wcale	5-6 h	dobre	œrednia	przeciêtny	dobry
11-26-2014 12:16:25	mê¿czyzna	23	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	niemarkowa	turystyka piesza, uprawianie sportu, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	przeciêtny	bardzo dobry
11-26-2014 12:18:36	kobieta	23	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	dobre	œrednia	wysoki	dobry
11-26-2014 12:20:42	kobieta	21	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	spotkania towarzyskie	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	7-8 h	przeciêtne	œrednia	przeciêtny	przeciêtny
11-26-2014 12:21:41	kobieta	21	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h, 7-8 h	dobre	œrednia	wysoki	dobry
11-26-2014 12:23:31	mê¿czyzna	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	spotkania towarzyskie	troska o wygl¹d	regularnie	7-8 h	bardzo dobre	œrednia	przeciêtny	przeciêtny
11-26-2014 12:36:46	mê¿czyzna	21	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	powy¿ej 20 %	markowy, œredniej klasy	markowa, wysokiej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	przeciêtny	dobry
11-26-2014 12:43:30	kobieta	23	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	niemarkowy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	5-6 h	dobre	œrednia	wysoki	bardzo dobry
11-26-2014 12:45:05	kobieta	22	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d	wcale	5-6 h	dobre	œrednia	przeciêtny	dobry
11-26-2014 12:56:49	mê¿czyzna	23	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h, 7-8 h	przeciêtne	œrednia	niski	przeciêtny
11-26-2014 13:13:23	kobieta	25	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d	wcale	7-8 h	dobre	œrednia	przeciêtny	bardzo dobry
11-26-2014 13:14:33	kobieta	21	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa	troska o wygl¹d	sporadycznie	5-6 h	dobre	œrednia	wysoki	przeciêtny
11-26-2014 13:22:42	kobieta	21	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	niemarkowa	spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	przeciêtne	œrednia	wysoki	dobry
11-26-2014 13:31:01	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	bardzo dobre	œrednia	przeciêtny	dobry
11-26-2014 13:35:40	mê¿czyzna	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	sen i lektura	troska o zdrowie, troska o wygl¹d	wcale	7-8 h	dobre	œrednia	wysoki	dobry
11-26-2014 13:36:11	mê¿czyzna	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	markowa, wysokiej klasy	turystyka piesza, uprawianie sportu	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	wysoka	wysoki	bardzo dobry
11-26-2014 13:37:14	kobieta	21	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	œrednia	przeciêtny	przeciêtny
11-26-2014 13:39:30	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	niemarkowa	spotkania towarzyskie	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	œrednia	wysoki	dobry
11-26-2014 13:43:25	kobieta	21	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	7-8 h	dobre	œrednia	wysoki	dobry
11-26-2014 13:46:05	kobieta	20	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	5 – 20 %	markowy, œredniej klasy, niemarkowy	markowa, wysokiej klasy, niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu, presja rodziny lub kolegów	wcale	7-8 h	dobre	œrednia	wysoki	bardzo dobry
11-26-2014 14:02:35	mê¿czyzna	24	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	spotkania towarzyskie	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	wysoki	dobry
11-26-2014 14:09:01	mê¿czyzna	21	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	niemarkowa	spotkania towarzyskie	przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	powy¿ej 8 h	dobre	œrednia	wysoki	dobry
11-26-2014 14:13:42	kobieta	21	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa, sen i lektura	troska o wygl¹d	wcale	powy¿ej 8 h	bardzo dobre	œrednia	wysoki	dobry
11-26-2014 14:30:21	mê¿czyzna	21	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	powy¿ej 8 h	dobre	niska	przeciêtny	dobry
11-26-2014 14:52:03	kobieta	19	sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	5 – 20 %	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie, sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	wysoka	przeciêtny	bardzo dobry
11-26-2014 15:10:17	kobieta	24	sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	5-6 h	dobre	œrednia	wysoki	bardzo dobry
11-26-2014 15:18:53	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie, sen i lektura	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	wysoki	bardzo dobry
11-26-2014 16:03:45	mê¿czyzna	23	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	niemarkowa	turystyka piesza, uprawianie sportu, sen i lektura	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	œrednia	przeciêtny	bardzo dobry
11-26-2014 16:26:34	kobieta	27	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, wysokiej klasy	niemarkowa	sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	powy¿ej 8 h	bardzo dobre	œrednia	wysoki	dobry
11-26-2014 17:17:14	mê¿czyzna	22	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	przeciêtne	œrednia	przeciêtny	przeciêtny
11-26-2014 18:07:33	kobieta	22	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	powy¿ej 8 h	bardzo dobre	œrednia, niska	przeciêtny	dobry
11-26-2014 18:17:45	kobieta	24	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	powy¿ej 8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
11-26-2014 18:39:24	kobieta	21	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	powy¿ej 20 %	markowy, wysokiej klasy, markowy, œredniej klasy	markowa, wysokiej klasy, markowa, œredniej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	przeciêtny	dobry
11-26-2014 18:50:44	kobieta	23	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa	troska o wygl¹d	wcale	7-8 h	dobre	niska	przeciêtny	bardzo dobry
11-26-2014 18:56:35	kobieta	22	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka piesza, uprawianie sportu	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	s³abe	œrednia	niski	przeciêtny
11-26-2014 19:01:05	kobieta	21	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	5-6 h	dobre	œrednia	wysoki	przeciêtny
11-26-2014 20:10:45	kobieta	22	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
11-26-2014 20:14:35	kobieta	23	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy, niemarkowy	markowa, œredniej klasy, niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	przeciêtny	dobry
11-26-2014 20:20:03	mê¿czyzna	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	powy¿ej 20 %	markowy, œredniej klasy, niemarkowy	markowa, œredniej klasy, niemarkowa	spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	s³abe	œrednia	wysoki	dobry
11-26-2014 20:48:05	kobieta	22	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, wysokiej klasy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	œrednia	wysoki	bardzo dobry
11-26-2014 20:51:24	mê¿czyzna	23	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy, niemarkowy	markowa, œredniej klasy, niemarkowa	turystyka piesza, uprawianie sportu, sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h, powy¿ej 8 h	dobre	œrednia	wysoki	dobry
11-26-2014 21:02:08	kobieta	27	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o wygl¹d, presja rodziny lub kolegów	wcale	7-8 h	bardzo dobre	niska	przeciêtny	dobry
11-26-2014 21:03:43	mê¿czyzna	23	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy, niemarkowy	markowa, œredniej klasy, niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	dobre	œrednia	wysoki	dobry
11-26-2014 22:08:19	kobieta	23	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, sen i lektura	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	7-8 h	dobre	œrednia	wysoki	dobry
11-26-2014 22:39:12	kobieta	25	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	spotkania towarzyskie	troska o zdrowie, presja rodziny lub kolegów	sporadycznie	5-6 h	dobre	œrednia	wysoki	dobry
11-27-2014 0:42:27	kobieta	22	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	dobre	œrednia	wysoki	dobry
11-27-2014 9:53:00	kobieta	23	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	5-6 h, 7-8 h	dobre	œrednia	wysoki	dobry
11-27-2014 12:10:11	mê¿czyzna	23	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	wysoka	wysoki	bardzo dobry
11-27-2014 12:40:40	mê¿czyzna	13							spotkania towarzyskie, sen i lektura		regularnie	5-6 h, 7-8 h	dobre	niska	przeciêtny	dobry
11-27-2014 13:00:27	kobieta	24	sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	przeciêtny	dobry
11-27-2014 13:07:05	mê¿czyzna	23	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	dobre	œrednia	przeciêtny	dobry
11-27-2014 19:06:13	mê¿czyzna	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie, sen i lektura	troska o wygl¹d	sporadycznie	7-8 h	przeciêtne	œrednia	przeciêtny	dobry
11-27-2014 20:01:09	mê¿czyzna	24	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka piesza, uprawianie sportu	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	poni¿ej 5 h, 5-6 h	dobre	œrednia	wysoki	dobry
11-27-2014 21:09:46	mê¿czyzna	21	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%		markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	œrednia	wysoki	dobry
11-27-2014 22:47:58	mê¿czyzna	21	sporty letnie	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
